index	toxic_comment	neutral_comment1	neutral_comment2	neutral_comment3
1572	покажешь и она тебя ебнет за то что.	покажешь и она тебя ударит за то что	покажешь и она тебя ударит за что то.	покажешь и она тебя ударит за то что.
1573	вот интересно ,что она то для страны сделала блядь а туда же	Вот интересно, что то для страны сделала ?		
1574	Говорить про оружие пролам запрещено, но дохнуть за интересы своих олигархов они обязаны.	Говорить про оружие пролам запрещено, но умирать за интересы своих олигархов они обязаны.		
1575	И ведь в стране таких феноменальных проёбов было примерно дохрена	и ведь в стране таких феноменальных неудач было очень много		
1576	просто нет слов на этих пидорасов.	просто нет слов	Просто нет слов	
1577	блин, я придурок? ни черта не понимаю о чем вы базарите..михуйло..и все такое, кто может разьяснить..	блин, ничего не понимаю о чем вы говорите....и все такое, кто может разьяснить..	Не понимаю о чем вы говорите, объясните мне пожалуйста	
1578	наверное сувал свой хуй в чужие дела	наверное совал свой нос в чужие дела		
1579	вот как этих блядей не любить	Вот как этих людей не любить?	Вот как этих женщин не любить	Как их не любить
1580	фамилия этой твари нигде не засветилась.	Ее фамилия нигде не засветилась.	Фамилия этого человека нигде не засветилась	Фамилия этого человека нигде не засветилось
1581	Ах тыж ебаный ты нахуй! Как уснуть теперь	Как уснуть теперь	Ах тыж! Как уснуть теперь	
1582	А вот группу Б в ралли запретили, придурошные.	А вот группу Б в ралли запретили	А вот группу Б в ралли запретили.	
1583	ЕМЕЛЬЯНЕНКО БЭЙДЕР ПРОГНОЗ СТАРЫЙ МЕРИН ПРОТИВ МОЛОДОГО АМЕРИАНЦА 26 ЯНВАРЯ 2019 ГОДА	Емельяненко Бейдер прогноз старый против молодого американца 26января 2019года.		
1584	Кто ещё тему перекрывает, долбоёбина, иди таблеток наебни, или я санитаров вызываю.	кто ещё тему перекрывает, иди успокойся		
1585	Ты ты тупой верун Есть невидимый мужик , доказать и подтвердить мы не можем но давайте поверим..	Есть невидимый мужик, доказать и подтвердить мы не можем,но давайте поверим...	Вы наивный и доверчивый.Есть невидимый мужик , доказать и подтвердить мы не можем но давайте поверим.	
1586	при нашем блядском правительстве этого не будет	при нашем правительстве этого не будет	При нашем правительстве этого не будет.	
1587	дружок нас большинство за президента и тебя огорчу бедолага придется и тебе жить при путине троль ебаная.	дружок нас большинство за президента и тебя огорчу, придется и тебе жить при путине	дружок нас большинство за президента и тебя огорчу ведь тебе придется жить при путине	Друг нас большинство за президента и тебя огорчу ,придётся и тебе жить при Путине
1588	какая падла снимала гибель косули, нет бы помочь	кто снимал гибель косули, нет бы помочь	Кто снимает гибель косули,нет бы помочь	
1589	Да уж, ебаные татары русское население мягко говоря недолюбливают и гнобят.	Да уж, татарский народ русское население недолюбливают		
1590	Но эти же пидарасы специально делают видосы, где нужен звук, который еще и приглушают	Но эти же люди специально делают видосы, где нужен звук, который еще и приглушают	Но они же специально делают видео, где нужен звук, который ещё и приглушают	
1591	телек не смотрим .почаще показывайте в интернете этих тварей.	Телевизор не смотрим. Почаще показывайте их в интернете.		
1592	Впервые солидарен С Милоновым Двачую, такая же хуйня	Впервые солидарен С Милоновым Двачую	Впервые солидарен с Милоновым.	Впервые солидарен С Милоновым Двачую
1593	Лагерь арабодрочеров, готовых не только учить этот ужасный язык, но и учиться прыгать по козлинному.	Лагерь арабов, готовых  учить этот язык		
1594	я конечно извиняюсь, а о чём вы господа дебилы	я конечно извиняюсь, а о чём вы господа	Я конечно извиняюсь вы о чем господа?	я конечно извиняюсь, а о чём вы господа
1595	ебнутая! какие ещё мысли и слова...	какие ещё мысли и слова...		
1596	вы поняли люди пидарасы в думе	вы поняли люди кто в думе		
1597	иди ка ты на хуй, василёк! тебе как первокласснику объяснять ?	Иди от сюда,Василёк. Объяснить доступнее?		
1598	а чё в спринтах выигрывают только те кто в топе? админы вы ахуели?	А че в спринтах выигрыввют только те кто в топе?	А чё в спринтах выигрывают только те кто в топе?админы вы разберитесь?	
1599	елена муц!пошла на хуй с похуданием.	Елена муц! Отстань с похуданием		
1600	залив сука кто когда блять чистить будем а?	залив кто когда чистить будем		
1601	​вот проснется вам всем пиздюлей будет и правильно!	​вот проснется вам всем плохо будет и правильно		
1602	ИРЛ тоже осаждаю русаков на эту тему, ибо не люблю пиздаболов	ИРЛ тоже осаждаю русских на эту тему, ибо не люблю лгунов		
1603	Я вообще из рашки и не из хохляшки	Я вообще из России, а не из Украины.	я вообще из россии, и не из украины	
1604	да пидоры они все.скоро народ встанет и начнёт душить паскуд	Скоро народ встанет и начнёт добиваться свободы.		
1605	Ты, блять, манагером по продаже подоконников треть жизни потеряешь - об этом беспокойся лучше.	Ты на продаже подоконников треть жизни потеряешь - об этом беспокойся лучше.	Ты продавцом по продаже подоконников треть жизни потеряешь - об этом беспокойся лучше.	
1606	это единственное место в париже от куда не видно это уёбище	это единственное место в париже от куда не видно это ужасное творение	Это единственное место в Париже откуда не видно его	Это единственное место в париже от куда не видно его
1607	мощь!!! а попрошайке хуй в жопу пидору!! иди работай и пользу приноси!!	Мощь! А тому кто просит ничего не давайте. Иди работай и пользу приноси		
1608	так что захлопнись и не выебывайся шмара.это будет три	Так что молчи и не выступай. Это будет три.		
1609	обуть надо по полной сучка двухгодолавая.подавайте в суд .моральный ущерб на 800000 рублей после за руль не сядет.	подавайте в суд .моральный ущерб на 800000 рублей после за руль не сядет.		
1610	путин вон наградил своих жополизов артистов,что за конституцию агитировали твари продажные	артисты получили награды за агитацию	Путин наградил своих артистов, что за конституцию агитировали.	
1611	чтож ты пидор про хабаровск молчишь	чтож ты про хабаровск молчишь	Что ж  ты про Хабаровск молчишь?	
1612	Ты боишься даже криво посмотреть на этих ерох, ведь они набьют тебе ебальник сразу	Ты боишься даже посмотреть на них, ведь они тебя побьют		
1613	пидарок! ты нарываешься? неужели не чувствуешь,что тебя опустили по полной на всех форумах??	Человек! Ты нарываешься? Неужели не чувствуешь, что ты никому не нравишься на всех форумах?		
1614	но какого в берлине долбаёбам протесты делать??? немецкой бульбы обожрались..	Но какого в Берлине протесты делать??? Немецкой картошкой наелись?		
1615	не за что не плюсану , всегда какихто гандонов играл	не за что не плюсану , всегда какихто злодеев играл	Ни за что не плюсану, всегда какие-то плохие роли играл.	
1616	и да, трендюлей пьяное и тупое быдло получило справедливо, но мало	И да,они получили справедливо,но мало	Да и получили эти пьяные люди справедливо, но мало.	
1617	нашим мудакам руководителям ни чего не надо.	нашим руководителям ничего не надо		
1618	согласен он многого достиг но не хер в политику лезть если тупой	согласен он многого достиг но не зачем в политику лезть если нет должного образования	Согласен он многого достиг но нечего в политику лезть если он глупый	
1619	а какого же х-я ты мразь ползаешь по российским сайтам лижи пиндосам жопу на их сайтах	А с какого же случая,ты лазаешь по российским сайтам,лучше обхаживай американские сайты..		
1620	мразь тупая,ни какого уважения к путину.	Никакого уважения к путину	ни какого уважения к путину	
1621	а тыщи мужиков копашатся в какой то ебанине...	а тыщи мужиков копашаться в какой-то ерунде		
1622	прочитал еще коментарии ты просто пидар	прочитал еще коментарии		
1623	уберите эту мразь вообще с ленты.	Уберите его вообще с ленты		
1624	тупица лучше пристрелить 10 и остальное стадо убежит, чем получить гражданскую войну и где уже погибнут тысячи	Лучше пристрелить 10 и остальные убегут, чем получить гражданскую войну и где уже погибнут тысячи		
1625	Только если ты не сосёшь деньги напрямую из бюджета	Только если ты не берешь деньги напрямую из бюджета		
1626	это ясно же что хуйло просто решил себе продлить срок царствования	это ясно же, что он просто решил себе продлить срок царствования.		
1627	эту мразь давно пора выкинуть из телевидения	Этого человека давно пора уволить с телевиденья	пора бы ей уйти с телевидения	
1628	Обещаешь что-то ещё, всегда проёбываешься, всё чаще на нарушение обещания тебе нужно в районе секунды-дня	обещаешь что-то ещё, всегда обламываешься, всё чаще на нарушение обещания тебе нужно в районе секунды-дня		
1629	смотри, хоть какое то у тебя разнообразие)))) а то только соловьёв смотришь и других гандонов))))	Смотри,хоть какое то у тебя разнообразие,а то только Соловьев смотришь и других..	Смотри, хоть какое-то у тебя разнообразие, а то только Соловьёва смотришь и ему подобных	
1630	родной русский брат путена-ну что? с этими тварями нужно делать	родной русский брат путена-ну что? с этими людьми нужно делать		
1631	да блядь вы тут совсем пизданулись vагlакаl lсом	Вы что, с ума здесь все посходили?		
1632	Где я такое кричу, шизик? Я просто рад разъебу очередного социалистического гнойника	Где я такое кричу? Я просто рад распада очередного социалистического строя		
1633	уебище какое то, красивее советских кораблей в мире нет	ужас какой-то. красивее советских кораблей в мире нет	Некрасивое какое то, красивее советских кораблей в мире нет	
1634	Ну так заведи себе семью, ребёнка, и ставь хештеги мысмоимтупорылымребенкомкаемсясгоруи	Завели себе семью и ребёнка , и ставь любые хештеги		
1635	да и хуюшки, есть такое понятие среди мужчины и женщины	есть такое понятие среди мужчины и женщины		
1636	одна шалава ушла и пусть и эта пиздует..	одна ушла и пусть эта тоже уходит	Одна ушла и это пусть уходит	
1637	ну котенок точно не даст тебе ублюдок сдачи	Ну котёнок точное не даст тебе сдачи	ну котенок точно не даст сдачи	Ну котёнок точно не даст тебе сдачи
1638	Шарий правильно стебёт, а ты нет	Шарий правильно говорит, а ты нет	Шарий правильно шутит , а ты нет	
1639	да этот хуй армянский адвокат думает вытащит ево наврядли он снего поимеит пополной и скажет иди пьян сиди	да этот  армянский адвокат думает вытащит ево наврядли он снего зеберет пополной и скажет иди  сиди		
1640	лео красава, крилтьяну пидр, кскс есть, здравые, сто пудов заме си	лео красава, крилтьяну нехороший, кскс есть, здравые, сто пудов заме си		
1641	ахуеть! какой мудак придумал этот праздник? почему не красное число?	Кто придумал этот праздник ? Почему не выходной		
1642	просто хорошо набить его рожу и выгнать из полиции как не нужное существо	Нужно выгнать его из полиции		
1643	а иногда думаешь что ценишь ,веришь ,а оказывается хуеплет	А иногда думаешь что ценишь, веришь, а оказывается обманщик		
1644	Ебнулись там совсем со своей цензурой	Сума сошли там со своей цензурой	Ума лишились там совсем со своей цензурой	
1645	этих колозлов надо наказать как следует.	этих людей надо наказать как следует.	этих людей надо наказать как следует	
1646	а где собственно драка??? автор пиздабол.	а где собственно драка???		
1647	Не просто портить жизнь , тот малолетний уебан уже отправил тдну девочку в больницу после того как ударил её.	Не просто портить жизнь , тот малолетка уже отправил одну девочку в больницу после того как ударил её	Не просто портить жизнь , тот малолетний парень уже отправил тдну девочку в больницу после того как ударил её.	Не просто портить жизнь, тот малолетка уже отправил одну девочку в больницу, после того как ударил её.
1648	может любитъ аа может и нет.често сказатъ по уккраине етот далбоёб не хуя не сделал	Может любить, а может и нет. Честно сказать, по Украине он ничего не сделал.	может любитъ аа может и нет.често сказатъ по уккраине ничего он не сделал	
1649	пипец))))) да он мудак настоящий, все ради бабла делал	Пипец))) да он все ради бабла делал	Он все ради денег делал	
1650	да все пятнадцать сука надо дать тебе !!!!!!!!!!!!!!!!! мразота ёбаная ещё и отмазываешся сука хуеплёт!!!!!!!!!!!!!!!!!!!!!!!!!8oi 👎👎👎👎👎👎👎👎👎👎👎👎	Да все пятнадцать нужно дать тебе !!!ещё и отказываешься!!!		
1651	это моя жена,я её ебу,а вы лохи все завидуйте	это моя жена,а вы все завидуйте		
1652	У тупых, ленивых, не следящих за собой и своим здоровьем женщин есть жир	У ленивых не следящих за собой и своим здоровьем женщин есть жир		
1653	он защищает только своих детей , анавсех остальных ему насрать , трибунал ему и всем его пидорам	Он защищает только своих детей, анавсех остальных ему наплевать, трибунал ему и всем его приспешникам		
1654	Именно эти две извилины в мозгу пидорах отвечают за проецирование данных слов на союзные украинско-американские отношения	Именно эти две извилины в мозгу людей отвечают за проектирование данных слов на союзные украинско-американские отношения		
1655	у обезьяны такая жопа я сочувствую ей	У обезьяны очень особенная пятая точка я ей сочувствую		
1656	А почему его так хейтят? Объясните, может я просто тупой.	А почему его так хейтят? Объясните, может я просто недалекий	А почему его так хейтят? Объясните.	
1657	блять ещё одна пявилась с источником коронавирус!!!	Ещё одна появилась с источником коронавируса		
1658	сколько у вас там машин все сорок штук на весь воронеж колхозники блядь(fr)	Сколько у вас там машин? Все сорок штук на весь Воронеж	сколько у вас там машин все сорок штук на весь воронеж	
1659	таких уродов только можно встретить в элите олигархов	Таких только можно встретить в элите олигархов	Таких людей можно встретить в элите олигархов.	Таких людей только можно встретить в элите олигархов
1660	Может надо перестать выебыватся и сделать так, как тут принято, или найти такой сайт, где вас поймут?-)	Может нужно сделать так, как тут принято, или найти такой сайт, где вас поймут?	Может надо сделать так, как тут принято, или найти такой сайт, где вас поймут?	
1661	валить таких мразей сразу с порога!!!!!!!	Наказывать таких сразу с порога		
1662	Вот суки а, зарплата и без того не большая, ещё и урезать умудряются	зарплата и без того не большая, ещё и урезать умудряются	Зарплата и без того небольшая ещё и урезать умудряются	Зарплата и без того не большая , ещё и урезать умудряются
1663	это ип белимов, даже не идите туда, там жопа	это ип белимов, даже не идите туда, там плохо		
1664	старшина долбоеб прогибается ,а офицеры долбаёб в поддерживают.	Старшина прогибаться, а офицеры поддерживают	Старшина выслуживается , а офицеры поддерживают	
1665	какого хуя они в лесу ползали	зачем они в лесу ползали		
1666	ты хуй сосёшь за чем сына за хуй продала на войну	Зачем сына продала на войну		
1667	да пошли вы на хуй, пидарасы	Идите вы далеко, люди		
1668	много на себя берёт , сука рыжая.	Много на себя берет.	много на себя берет	
1669	Что ты этим болдом хотел сказать, дебил?	что ты этим хотел сказать?		
1670	к стенке его и растрелять- охуевший гуманоид	Данный человек должен понести наказание		
1671	блядь!! не могу успокоиться никак	Не могу успокоиться никак.	не могу успокоиться никак	не могу успокоиться никак
1672	в каком нахуй вашем княжестве литовском?! дядя,ты дурак?	в каком ещё княжестве литовском? дядя, ты что?		
1673	как заебал текслер с этим продлением 😬😬😬	Как надоел Текслер с этим продлением!	Как же достал Текслер с этим продлением!	
1674	сорос старый хер сколько ты потомства наплодил	сколько у тебя детей		
1675	блять эти ублюдки тока пиздеть могут	Эти плохие люди только врать могут		
1676	таких уродов надо сажать и надолго...жалко ох как жалко этих бедных аистов до слез:(﻿....урод других слов для этой твари нет!8oi﻿	Таких надо за решетку и надолго....жалко ох как жалко этих бедных аистов до слез		
1677	крепко держится за ограду, наверно ждёт пока не въебут .	крепко держится за ограду, наверно ждёт пока не ударят .		
1678	Но всё меняется от того факта, что ты не имел возможности за 26 лет воткнуть в какую-то уродину	Но всё меняется от того факта, что ты не имел возможности за 26 лет поучаствовать в половом акте		
1679	хрен ли тут угадывать, ебаная россия	что тут угадывать, россия		
1680	какая блядь сейчас бруснику собирает руки отрывать за это надо	кто сейчас бруснику собирает руки отрывать за это надо		
1681	вот это фото все сказало ,куда беларуссия катится ,везде где побывал это пидор развал и нищета	Вот это фото, все сказано , куда Беларуссия катиться, везде где побывал этот человек развал и нищета.		
1682	ДЕЛО ЕЩ НЕ ЗАКРЫТО! Связываемся с Дианочкой!	Дело не закрыто, связываемся с Дианочкой!		
1683	любители животных ! где эти любители бродячих животных ? маразматики , дома сидят !	любители животных ! где эти любители бродячих животных ? дома сидят !	Любители животных! Где эти любители бродячих животных ? Дома сидят !	
1684	Кроме того, что ты хуйню прочитал, друг, так эту хуйню еще и наплюсовали через два часа	Кроме того, что ты какой-то бред прочитал, друг, так этот бред ещё и наплюсовали через два часа		
1685	-Тебе че, в ебыч прописать? Ты мой заместитель или чей? Вот и пиздуй работать	Тебя наказать?ты мой заместитель или чей?иди работай!	Ты мой заместитель или чей? Вот и иди работать	Ты мой заместитель или чей?  Вот иди и работай
1686	я жалею детей, а не этих дебилов	Я жалею детей, а не этих людей		
1687	кто бы что не говорил но я тоже высадку пиндосов на луне считаю заговором международным	Кто бы что не говорил, но я тоже высадку американцев на луну считаю заговором международным	кто бы что не говорил, но я тоже высадку американцев на луну считаю заговором международным	
1688	совсем совесть пропил! мерзота! как он дальше жить собирается?! или отмажут?!	Совсем совесть потерял! Как он дальше жить собирается? Или отмажут?!	совсем совесть пропил!  как он дальше жить собирается?! или отмажут?!	
1689	и ломают всё вокруг не они,дебилов хватает в жизни:d	И ломают всё вокруг не они, плохих людей хватает в жизни		
1690	вот всем пиздюлей и штраф чтоб херней не маялись хотят чтобы было как у хохлов придурки бля	Вот всем наказание и штраф,чтоб ерундой не маялись хотят, чтобы как у украинцев было.		
1691	После чего ты сделал ещё более смешной ролик, где истеришь как побитая шлюха во время ПМС	После чего ты сделал ещё более смешной ролик, где истеришь		
1692	вот кто выложил это фото ты тварь тибе ебало разбить чтобы не пользовался чужими фото	вот кто выложил это фото ты не хороший человек, тебя наказать чтобы не пользовался чужими фото	вот кто выложил это фото. нельзя пользоваться чужими фото	
1693	Кукарек кукарек Как я понимаю, по делу сказать нечего?)	Как я понимаю, по делу сказать нечего?		
1694	блять почему их сталин гнобил? вопрос, наши русские деды воевали штоб жидов отбить у немцев	Почему их Сталин не любил?вопрос,наши русские деды воевали чтобы евреев отбить у немцев		
1695	серега нормальный работящий арены шучу долбаеб сука он мразь сsоvаснги	Серёга нормальный работящий арены, хотя шучу я.		
1696	из вас паскуд ни одна блядь в окопах не сидит а только пиздите и дрочите людей	Из вас никто в окопах не сидит, только ворчите и донимаете людей		
1697	да хер ли не помочь то!!! у самих дома как после бомбёжки, а и пофиг, обойдёмся, ливан важнее	Почему не помочь то!!! у самих дома как после бомбёжки, а и пофиг, обойдёмся, ливан важнее		
1698	лично я хочу чтоб мрази сели на пожизненое.	Мое мнение они должны сидеть пожизненно	Лично я хочу чтобы они сели на пожизненное	
1699	можно было конечно остаться без вышки и ебать себе мозг где заработать на кусок хлеба.	Можно было конечно остаться без вышки и ломать себе голову где заработать на кусок хлеба	можно было конечно остаться без вышки и думать где заработать	
1700	админ ты пидр и те кто поддержит его тоже	Админ не прав и все кто его поддерживает.		
1701	Даже Казань пиздила Москву, имея населения раз в 12 меньше, ну и тюркские корни кучи русаков сами говорят за себя.	Даже Казань воевала с Москвой, имея населения раз в 12 меньше, ну и тюркские корни кучи русских сами говорят за себя.		
1702	тупой долбаеб без повода кидать в чс🥰🥰🥰🥰🥵🥵🥵🥵🤭🤭🤭😍😍😍😍🥺💦👏	без повода кидать в чс	Без повода кидать в чс	Без повода кинул в чс
1703	стяни с себя мое фото, идиотка...	стяни с себя моё фото.		
1704	и не пиши мне, старый идиот	и не пиши мне,	И не пиши мне	
1705	потом отписала что уходит.#u9b3c2d1af7s# теперь новая айка выскочило и тупит с компа.#u9b079a3836s# во ебанутые хохлухи.#u9b3c2d1af7s#	потом отписала что уходит.#u9b3c2d1af7s# теперь новая айка выскочило и тупит с компа.#u9b079a3836s# во люди		
1706	так правильно, не надо равнять янковского жополиза ебна и советскую власть	Так правильно, не надо равнять янковского и советскую власть		
1707	в ментовку только такие шакалы и идут	в полицию только такие люди и идут	В полицию только такие люди и идут	
1708	Если они будут знать что их могут пристрелить - буйных голов поубавится.	будут знать о наказании не будут плохо поступать		
1709	Оооо школоло даже не шифруется! Чё каникулы?	У тебя что каникулы, школьник?	Оооо школьники даже не шифруются! Чё каникулы?	Оооо школьники даже не прячутся, что, каникулы?
1710	а то тебя фсб раком поставит , допиздишся .	А то тебя ФСБ найдет,договоришься		
1711	кому не нравиться жить в современной россии - пиздуйте отсюда	Кому не нравится жить в современной России - можно уехать отсюда.	кому не нравиться жить в современной россии - уезжайте отсюда	кому не нравиться жить в современной россии - можете жить в другой стране вас не кто не держит
1712	в дурдом он, блядь, собрался !	В психбольницу он блин, собрался!		
1713	и откуда ты такой взялся тебя видимо не мать родила а у пидораса через задний проход вышел	И откуда ты такой взялся		
1714	придурок! поймёт , когда сам на себе прочувствует	Поймет, когда сам на себе прочувствует		
1715	ТРЕД РУССКОГО НАУЧПОП КОНТЕНТА УБЕРИ НАХУЙ СВОИХ ПЕТУХОВ ОТСЮДА, ШКОЛЬНИК ЕБАНЫЙ	это тред русского научпоп контента, уберите свои возмутетельные комментарии		
1716	они сорят бабками, а мы хуй без соли доедам, мы не живём, мы выживаем	они сорят бабками, а мы не живём, мы выживаем	Они сорят деньгами, а мы бедные, мы не живем, мы выживаем	они сорят деньгами, а мы пустоту без соли доедаем, мы не  живём, мы выживаем
1717	я бы этих пидорасов вообще всех разогнал нахуй	Я бы их вообще всех разогнал		
1718	эти твари нам пенсионерам только повышают цену на коммунальные услуги .охуели совсем клопы когда нажрутся	эти люди нам пенсионерам только повышают цену на коммунальные услуги. совсем обнаглели, никак не успокоятся		
1719	А я на бордах с конца 2007 и если ты стремаешься пользоваться местным лексиконом, то иди нахуй.	А я на бордах с конца 2007 и если ты боишься пользоваться местным лексиконом, то уходи.	А я на бордах с конца 2007 и если ты стремаешься пользоваться местным лексиконом, то нам не по пути	
1720	даааа, время идёт, а идиотов, все больше и больше.....	Даааа, время идёт, а глупых, все больше и больше...		
1721	мальчики играющее в войну во дворе,становятся мужчинами! мальчики играющими в барби и кена,пидерасты!	мальчики играющее в войну во дворе,становятся мужчинами! мальчики играющими в барби и кена, геи		
1722	а ещё советскую (самую лучшую в мире) школу кончал, дебил!!!	а еще советскую (самую лучшую в мире) школу кончал		
1723	сёдня юрку будем пиздить, раз выспалась	сёдня юрку будем бить, раз выспалась		
1724	они подлые,паршивые,хитрые,у них полностью отсутствует честь.одним словом бляди.	Хитрые,у них полностью отсутствует честь!		
1725	представились? спасибо, рады вас видеть, а теперь пиздуйте обратно под шконку.	представились? спасибо, рады вас видеть, а теперь идите обратно.	представились? спасибо, рады вас видеть, а теперь идите обратно	
1726	И посмотри чьих дидов погибло в WOW больше всего и это будут хохлы, русня и белорусы	И посмотри чьих дедов погибло в вов больше всего, скорее всего это будут украинцы, русские и белорусы		
1727	мразь ебаная, не ордло, а днр и лнр	Не ордло, а днр и лнр		
1728	Дебилы бля, гугл на этой хуйне обучает нейросетку для автопилотов	гугл с помощью этой штуки обучает нейросетку для автопилотов	гугл на этом обучает нейросетку для автопилотов	
1729	обсерают сидят этих уродов по кайфу вам дебилаи	Оскорбляют сидят всех и им это нравится		
1730	где ж ты, блядь, такая дура то нашлась?????	где ж ты такая нашлась		
1731	сейчас соотношение (зарплата-цена) не адекватно, олигархи жыруют, а пахари сельские в основном хуй сосут.	Сейчас соотношение зарплата-цена не одекватно, олигархи шикуют, а пахари в основном бедствуют		
1732	и везде вас отпиздила армянская диаспора	и везде вас победила армянская диаспора		
1733	Рашка таки скатилась в сраное говно	Россия свернула не в ту сторону		
1734	вот таким образом появляются новые законы ,отстреливать как бешеных собак!	вот таким образом появляются новые законы!		
1735	хрень овертоновская, перефраз завуалированный-лишь тот достоин жизни и свободы, кто каждый день идёт за них на бой	Ересь овертоновская, перефраз завуалированный - лишь тот достоин жизни и свободы, кто каждый день идёт за них на бой	перефраз завуалированный- лишь тот достоин жизни и свободы, кто каждый день идёт за них в бой	
1736	а тогда хрен соси как мишка лапу,честно в нашей стране заработать такие деньги не реально.	Честно в нашей стране заработать такие деньги нереально	Честно в нашей стране заработать такие деньги не реально	
1737	долбоебы!!!я за последний год собрала столько справок,ебнуться можно,ноги до жопы стерла!!!	Я за последний год собрала столько справок,обалдеть,ноги,чуть не до головы стерла..		
1738	таких уродов необходимо уничтожать на месте и не церемониться	Таких людей необходимо наказывать на месте и не церемониться		
1739	гнать этого старого козла в дряблую шею!	Прогнать его нужно		
1740	ебарь твой тебя кинула да, наркоманка?)	Парень твой тебя бросил, да?		
1741	сначала хуй предоставьте, а там посмотрим)	Сначала доказательство предоставьте, а там посмотрим)		
